image_id,x,y,w,h,confidence,file_path,ID
0,702,249,37,99,0.9951753616333008,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0000_pedestrian_0.png,-1
2,699,255,38,106,0.9961482286453247,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0002_pedestrian_0.png,-1
2,754,254,39,100,0.995235025882721,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0002_pedestrian_1.png,-1
5,700,261,44,111,0.9960331320762634,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0005_pedestrian_0.png,-1
7,701,261,40,111,0.9979813694953918,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0007_pedestrian_0.png,-1
7,343,253,29,70,0.9969377517700195,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0007_pedestrian_1.png,-1
7,251,262,33,93,0.995589017868042,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0007_pedestrian_2.png,-1
8,709,260,37,103,0.9987518787384033,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0008_pedestrian_0.png,-1
8,343,254,27,69,0.9952425956726074,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0008_pedestrian_1.png,-1
8,249,260,32,93,0.9957231283187866,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0008_pedestrian_2.png,-1
27,237,280,38,108,0.9990915060043335,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0027_pedestrian_0.png,-1
27,125,274,40,93,0.9969684481620789,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0027_pedestrian_1.png,-1
28,119,271,37,94,0.998580813407898,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0028_pedestrian_0.png,-1
28,227,278,42,119,0.9954439401626587,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0028_pedestrian_1.png,-1
29,105,271,40,99,0.9954506754875183,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0029_pedestrian_0.png,-1
29,204,277,45,118,0.996093213558197,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0029_pedestrian_1.png,-1
30,102,271,38,94,0.9992119073867798,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0030_pedestrian_0.png,-1
31,98,272,37,92,0.9988833069801331,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0031_pedestrian_0.png,-1
31,191,275,44,111,0.9951649904251099,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0031_pedestrian_1.png,-1
32,88,275,39,96,0.999206006526947,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0032_pedestrian_0.png,-1
33,81,277,42,101,0.9972448348999023,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0033_pedestrian_0.png,-1
34,67,279,41,93,0.9953031539916992,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0034_pedestrian_0.png,-1
35,167,285,37,100,0.9980437755584717,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0035_pedestrian_0.png,-1
35,60,277,36,89,0.996094286441803,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0035_pedestrian_1.png,-1
36,58,281,39,95,0.9979920387268066,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0036_pedestrian_0.png,-1
36,573,275,38,101,0.9955747127532959,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0036_pedestrian_1.png,-1
38,567,275,40,106,0.9982962012290955,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0038_pedestrian_0.png,-1
39,638,285,48,144,0.9973203539848328,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0039_pedestrian_0.png,-1
39,563,267,34,90,0.995915949344635,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0039_pedestrian_1.png,-1
40,455,249,18,48,0.9965639710426331,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0040_pedestrian_0.png,-1
41,453,248,18,50,0.9964087605476379,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0041_pedestrian_0.png,-1
42,453,248,17,50,0.9958071708679199,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0042_pedestrian_0.png,-1
42,412,248,16,44,0.9954937696456909,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0042_pedestrian_1.png,-1
42,29,279,40,102,0.9971489310264587,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0042_pedestrian_2.png,-1
43,26,278,39,100,0.9983534812927246,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0043_pedestrian_0.png,-1
44,23,279,38,98,0.9985548853874207,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0044_pedestrian_0.png,-1
44,106,282,40,105,0.9975112676620483,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0044_pedestrian_1.png,-1
44,546,262,33,91,0.9984623193740845,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0044_pedestrian_2.png,-1
45,18,279,36,99,0.998336911201477,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0045_pedestrian_0.png,-1
45,544,262,36,96,0.9993563294410706,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0045_pedestrian_1.png,-1
45,414,250,17,45,0.9957059025764465,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0045_pedestrian_2.png,-1
45,105,283,43,113,0.9961583018302917,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0045_pedestrian_3.png,-1
46,641,285,61,176,0.9992602467536926,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0046_pedestrian_0.png,-1
46,541,262,36,99,0.9970917701721191,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0046_pedestrian_1.png,-1
47,641,285,57,167,0.9994232654571533,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0047_pedestrian_0.png,-1
47,538,264,37,106,0.9989413619041443,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0047_pedestrian_1.png,-1
47,412,248,16,43,0.9974247217178345,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0047_pedestrian_2.png,-1
47,422,246,17,44,0.9962319731712341,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0047_pedestrian_3.png,-1
47,103,277,36,98,0.9964166879653931,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0047_pedestrian_4.png,-1
48,644,284,53,154,0.9992260932922363,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0048_pedestrian_0.png,-1
48,537,263,35,96,0.9980949759483337,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0048_pedestrian_1.png,-1
48,411,248,17,45,0.9958444237709045,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0048_pedestrian_2.png,-1
49,648,287,63,178,0.9974061846733093,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0049_pedestrian_0.png,-1
49,531,262,34,92,0.9990782737731934,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0049_pedestrian_1.png,-1
50,527,263,35,99,0.9962049126625061,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0050_pedestrian_0.png,-1
51,651,283,59,173,0.9981154203414917,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0051_pedestrian_0.png,-1
51,525,260,34,89,0.9980243444442749,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0051_pedestrian_1.png,-1
51,408,245,16,42,0.9958136677742004,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0051_pedestrian_2.png,-1
51,55,298,63,162,0.9957267045974731,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0051_pedestrian_3.png,-1
52,407,247,17,45,0.9986459612846375,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0052_pedestrian_0.png,-1
52,421,244,17,49,0.9975271821022034,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0052_pedestrian_1.png,-1
52,521,260,33,92,0.9978488683700562,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0052_pedestrian_2.png,-1
52,47,297,66,173,0.9958881735801697,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0052_pedestrian_3.png,-1
53,427,243,19,48,0.9956217408180237,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0053_pedestrian_0.png,-1
53,653,286,59,173,0.9952759742736816,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0053_pedestrian_1.png,-1
54,651,294,63,193,0.9974321722984314,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0054_pedestrian_0.png,-1
54,506,259,35,88,0.99603670835495,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0054_pedestrian_1.png,-1
55,503,256,35,90,0.9988917708396912,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0055_pedestrian_0.png,-1
55,423,239,20,52,0.9957142472267151,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0055_pedestrian_1.png,-1
56,501,261,40,107,0.9967676401138306,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0056_pedestrian_0.png,-1
57,498,260,39,105,0.9967132806777954,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0057_pedestrian_0.png,-1
58,495,256,37,95,0.9996916055679321,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0058_pedestrian_0.png,-1
58,400,242,17,47,0.996265709400177,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0058_pedestrian_1.png,-1
58,652,295,73,193,0.9965254664421082,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0058_pedestrian_2.png,-1
59,491,257,34,87,0.9985835552215576,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0059_pedestrian_0.png,-1
59,653,293,72,203,0.9991500377655029,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0059_pedestrian_1.png,-1
59,399,244,17,48,0.9950873255729675,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0059_pedestrian_2.png,-1
60,659,292,73,212,0.998764157295227,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0060_pedestrian_0.png,-1
61,489,256,33,86,0.9988299012184143,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0061_pedestrian_0.png,-1
61,660,295,63,205,0.9976785778999329,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0061_pedestrian_1.png,-1
62,489,257,33,90,0.9988973140716553,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0062_pedestrian_0.png,-1
63,488,258,35,93,0.9981313347816467,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0063_pedestrian_0.png,-1
63,26,276,37,92,0.9974809288978577,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0063_pedestrian_1.png,-1
63,59,273,33,91,0.9965240359306335,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0063_pedestrian_2.png,-1
66,482,256,32,85,0.9974960684776306,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0066_pedestrian_0.png,-1
67,480,253,31,81,0.9968923926353455,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0067_pedestrian_0.png,-1
68,481,252,30,81,0.9988386034965515,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0068_pedestrian_0.png,-1
69,475,250,32,82,0.9980825185775757,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0069_pedestrian_0.png,-1
70,474,251,33,83,0.9990683197975159,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0070_pedestrian_0.png,-1
71,471,251,34,83,0.9993239641189575,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0071_pedestrian_0.png,-1
72,472,251,33,84,0.9991395473480225,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0072_pedestrian_0.png,-1
73,471,250,33,86,0.9995014667510986,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0073_pedestrian_0.png,-1
74,467,251,33,82,0.9996792078018188,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0074_pedestrian_0.png,-1
74,424,239,22,60,0.9967603087425232,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0074_pedestrian_1.png,-1
75,464,251,32,81,0.9998853206634521,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0075_pedestrian_0.png,-1
75,423,239,21,58,0.9972424507141113,/home/minoda/git/DLAV/project/milestone3/intermediates/yolov3_outputs/pedestrian_images/image_0075_pedestrian_1.png,-1
